         18301407 function calls (9113374 primitive calls) in 5.498 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.000    0.000    5.498    5.498 {built-in method builtins.exec}
        1    0.010    0.010    5.498    5.498 21-palindrome-pairs-trie.py:1(<module>)
        1    0.000    0.000    3.756    3.756 21-palindrome-pairs-trie.py:78(find_pairs)
        2    0.814    0.407    3.756    1.878 21-palindrome-pairs-trie.py:32(build_trie)
  2342074    2.656    0.000    2.781    0.000 21-palindrome-pairs-trie.py:15(__init__)
6472021/27213    0.876    0.000    1.724    0.000 21-palindrome-pairs-trie.py:88(dfs)
    42068    0.040    0.000    0.825    0.000 21-palindrome-pairs-trie.py:56(get_palindromes)
2826536/83312    0.600    0.000    0.664    0.000 21-palindrome-pairs-trie.py:41(get_words)
  2342072    0.157    0.000    0.157    0.000 {method 'setdefault' of 'dict' objects}
  2765430    0.148    0.000    0.148    0.000 {method 'append' of 'list' objects}
    73409    0.114    0.000    0.121    0.000 21-palindrome-pairs-trie.py:62(is_palindrome)
   817953    0.035    0.000    0.035    0.000 {built-in method builtins.isinstance}
   423356    0.022    0.000    0.022    0.000 {method 'pop' of 'list' objects}
   127014    0.007    0.000    0.007    0.000 {built-in method builtins.len}
    27212    0.005    0.000    0.005    0.000 21-palindrome-pairs-trie.py:134(<lambda>)
     9904    0.005    0.000    0.005    0.000 21-palindrome-pairs-trie.py:22(get_palindromes)
    27212    0.003    0.000    0.003    0.000 {method 'add' of 'set' objects}
     4952    0.003    0.000    0.003    0.000 21-palindrome-pairs-trie.py:80(<lambda>)
        2    0.002    0.001    0.002    0.001 {method 'sort' of 'list' objects}
        1    0.001    0.001    0.001    0.001 21-palindrome-pairs-trie.py:81(<dictcomp>)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1167(_find_and_load)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1122(_find_and_load_unlocked)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:666(_load_unlocked)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:934(exec_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1056(_find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
        5    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
        1    0.000    0.000    0.000    0.000 david.py:1(<module>)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
        1    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:169(__enter__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:392(cached)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.000    0.000    0.000    0.000 {built-in method io.open_code}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1599(_get_spec)
        3    0.000    0.000    0.000    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
